URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://trip.ee/taxonomy/term/4412,404,,3/8/12,Not found,Desktop,5/13/16
http://trip.ee/content/taxonomy/term/351,404,,5/22/13,Not found,Desktop,6/22/16
http://trip.ee/content/taxonomy/term/438,404,,5/30/13,Not found,Desktop,6/22/16
http://trip.ee/taxonomy/term/833,404,,6/3/11,Not found,Desktop,5/12/16
http://trip.ee/taxonomy/term/522,404,,6/11/11,Not found,Desktop,5/28/16
http://trip.ee/node/taxonomy/term/311,404,,5/17/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/521,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/819,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/595,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/768,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/3,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/7,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/6,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/5,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/taxonomy/term/8,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/sihtkoht/euroopa,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/sihtkoht/aasia,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/taxonomy/term/863,404,,5/30/11,Not found,Desktop,5/16/16
http://trip.ee/taxonomy/term/894,404,,12/23/11,Not found,Desktop,6/11/16
http://trip.ee/taxonomy/term/418,404,,3/13/14,Not found,Desktop,5/21/16
http://trip.ee/taxonomy/term/212,404,,5/31/11,Not found,Desktop,4/21/16
http://trip.ee/trip_destination/tid/669,404,,2/7/11,Not found,Desktop,7/7/16
http://trip.ee/node/taxonomy/term/455,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node.php?id=2279,404,,2/2/11,Not found,Desktop,7/2/16
http://trip.ee/content/flight/www.azair.eu,404,,6/20/16,Not found,Desktop,6/21/16
http://trip.ee/node/taxonomy/term/488,404,,5/16/13,Not found,Desktop,5/31/16
http://trip.ee/node/view/4389,404,,2/13/11,Not found,Desktop,6/8/16
http://trip.ee/content/taxonomy/term/409,404,,2/7/16,Not found,Desktop,6/12/16
http://trip.ee/taxonomy/term/699,404,,2/5/12,Not found,Desktop,5/30/16
http://trip.ee/node/taxonomy/term/305,404,,12/10/15,Not found,Desktop,6/2/16
http://trip.ee/node/view/1436,404,,1/21/11,Not found,Desktop,6/26/16
http://trip.ee/node/view/4191,404,,1/30/11,Not found,Desktop,7/7/16
http://trip.ee/node/view/4860,404,,2/6/11,Not found,Desktop,7/7/16
http://trip.ee/taxonomy/term/204,404,,6/19/11,Not found,Desktop,5/3/16
http://trip.ee/node/view/3196,404,,2/5/11,Not found,Desktop,7/7/16
http://trip.ee/trip_destination/tid/476,404,,2/13/11,Not found,Desktop,7/2/16
http://trip.ee/trip_destination/tid/317,404,,1/26/11,Not found,Desktop,6/5/16
http://trip.ee/taxonomy/term/72,404,,12/25/11,Not found,Desktop,5/31/16
http://trip.ee/node/view/9048,404,,2/17/11,Not found,Desktop,5/31/16
http://trip.ee/taxonomy/term/10,404,,6/11/11,Not found,Desktop,4/29/16
http://trip.ee/taxonomy/term/128,404,,6/19/11,Not found,Desktop,4/25/16
http://trip.ee/taxonomy/term/54,404,,7/1/12,Not found,Desktop,6/12/16
http://trip.ee/trip_destination/tid/365,404,,6/13/11,Not found,Desktop,4/23/16
http://trip.ee/content/flight/www.ryanair.com,404,,6/25/16,Not found,Desktop,6/25/16
http://trip.ee/node/taxonomy/term/354,404,,6/3/16,Not found,Desktop,6/3/16
http://trip.ee/content/taxonomy/term/849,404,,5/6/16,Not found,Desktop,6/12/16
http://trip.ee/content/flight/www.budgetair.ie,404,,6/20/16,Not found,Desktop,6/20/16
http://trip.ee/href,404,,8/29/11,Not found,Desktop,4/27/16
http://trip.ee/content/taxonomy/term/434,404,,5/16/13,Not found,Desktop,6/22/16
http://trip.ee/node/taxonomy/term/579,404,,2/8/16,Not found,Desktop,6/22/16
http://trip.ee/node/taxonomy/term/4424,404,,6/22/16,Not found,Desktop,6/22/16
http://trip.ee/content/taxonomy/term/318,404,,5/16/13,Not found,Desktop,6/7/16
http://trip.ee/content/sihtkoht/tai,404,,5/25/13,Not found,Desktop,5/15/16
http://trip.ee/content/sihtkoht/filipiinid,404,,6/8/13,Not found,Desktop,5/24/16
http://trip.ee/content/aasia/sihtkoht/aafrika,404,,5/18/13,Not found,Desktop,6/22/16
http://trip.ee/content/aasia/sihtkoht/aasia,404,,5/18/13,Not found,Desktop,6/22/16
http://trip.ee/content/m-n/m-giga-kiire.html,404,,8/4/11,Not found,Desktop,6/9/16
http://trip.ee/node/taxonomy/term/4345,404,,6/20/16,Not found,Desktop,6/22/16
http://trip.ee/content/itaalia/sihtkoht/aafrika,404,,5/16/13,Not found,Desktop,6/8/16
http://trip.ee/content/tai/sihtkoht/euroopa,404,,5/16/13,Not found,Desktop,6/22/16
http://trip.ee/content/tai/sihtkoht/aafrika,404,,5/16/13,Not found,Desktop,6/22/16
http://trip.ee/content/tai/taxonomy/term/5,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/content/tai/taxonomy/term/7,404,,5/17/13,Not found,Desktop,6/11/16
http://trip.ee/reisipakkumine/online.goadventure.ee/extra/quoteddynamic.aspx?country=6238&departFrom=770&dateFrom=2013-01-11&dateTo=2013-01-11,404,,10/2/12,Not found,Desktop,6/13/16
http://trip.ee/reisipakkumine/online.goadventure.ee/extra/quoteddynamic.aspx?country=6238&departFrom=770&dateFrom=2013-01-18&dateTo=2013-01-18,404,,10/2/12,Not found,Desktop,6/13/16
http://trip.ee/content/forum/www.booking.com,404,,6/20/16,Not found,Desktop,6/20/16
http://trip.ee/content/tai/taxonomy/term/3,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/node/category/rubriigid/reisikaardid,404,,6/21/16,Not found,Desktop,6/21/16
http://trip.ee/content/tai/taxonomy/term/488,404,,5/17/13,Not found,Desktop,6/15/16
http://trip.ee/content/tai/taxonomy/term/6,404,,5/17/13,Not found,Desktop,6/14/16
http://trip.ee/content/k%C3%BCsimus/taxonomy/term/8,404,,5/18/13,Not found,Desktop,6/11/16
http://trip.ee/category/reisistiilid/reisipakkumised,404,,5/16/13,Not found,Desktop,6/12/16
http://trip.ee/category/rubriigid/reisipakkumised,404,,5/16/13,Not found,Desktop,6/12/16
